Folder	Index	∆-ML_BH	HF_RE	DFT_RE
1	0	21.0898320870424	78.7804275014496	99.8593077169644
1	1	20.378674958764805	81.64513551865821	101.97715620242523
1	2	17.619839534366747	85.3796222768724	102.92594389282748
1	3	22.710899412462823	81.23946200241335	103.94643945185815
1	4	18.988568456403755	79.53060780279338	98.42442392761586
1	5	21.42086243512358	83.08344615777605	104.32645310470252
1	6	18.06394985213319	85.58416323550045	103.5994121103722
2	0	11.01557080292764	97.27329759451096	108.24673461589556
2	1	10.837886947620971	99.17612855447804	110.06453773146497
2	2	11.533593795005345	100.0678612722113	111.60459767356224
2	3	11.76848986413188	99.64640487596624	111.43569502976608
2	4	12.065949231476225	101.09835834352998	113.08695232556784
2	5	11.24125435425185	101.00070465635508	112.28979235867156
3	0	9.607781218730452	-9.348250073060626	0.4039208878239151
3	1	8.298252337116992	-9.523891111806734	-1.2329394880507607
3	2	9.717819191542503	-9.47101246814418	0.1951090505463071
3	3	11.434748071693775	-7.912515336502111	3.462091407360276
3	4	10.156120306445018	-12.316729834215948	-2.1729525060218293
3	5	3.306366603958395	10.676790828147205	13.99399751907913
3	6	9.17517637822084	-9.332808494422352	-0.1912578802148345
3	7	4.808677931478087	10.048155306314584	14.858301602391291
3	8	9.544181341082094	-9.204186324699547	0.2294536489062011
3	9	5.748705108524973	11.15928250842262	16.8420924640086
3	10	7.595978565298992	2.5761608120810706	10.2122266915394
3	11	5.687371070287554	19.69950401247479	25.287210816459265
3	12	5.5577331912195405	11.356155717832737	16.77234015974682
3	13	7.263469225900962	22.16511548214476	29.43402416055324
3	14	4.689466529416222	9.937306172214448	14.564662550517824
3	15	7.418807955605189	-5.010711555572925	2.382691391510889
3	16	4.817869843737981	10.06551093966118	14.942563824908577
3	17	6.653864812269148	4.210221594723407	10.855632719845744
3	18	6.298960343894805	11.104552074422829	17.322379522229312
3	19	8.400768618053235	-14.547412997300851	-6.161217550426954
3	20	6.544365635661961	3.7047289728361648	10.35064743773546
3	21	9.193408271152748	-9.184900494030444	0.120472447713837
3	22	5.561164556173935	7.144209167774534	12.7275620738219
3	23	6.9371171109078205	10.296915540762711	17.614284394396236
3	24	5.381190931633682	11.03721885860432	16.407742718583904
3	25	5.727703938004652	6.751613487838768	12.402758521668147
3	26	5.733840967422566	11.701584938913584	17.423575363587588
3	27	8.554260694588265	-8.811765907652443	-0.0508538966823834
3	28	5.107581535959071	0.3704180123459082	5.437859381898306
3	29	5.387744777127864	8.73468715546187	14.112244589952752
3	30	9.964419055123926	-2.3604583778069355	7.5126208817528095
3	31	6.543059817325229	6.130977792257909	12.786906993889716
3	32	9.597656270998868	-9.310773804492785	0.3047451813181396
3	33	9.35523683142901	-9.018539161450462	0.462970628432231
3	34	9.361979352710478	-8.940494157548528	0.5692952139361296
3	35	7.2654930748835795	10.71095785763464	17.49425471597351
4	0	-10.90202294203118	-10.844256777898408	-21.66862352949101
4	1	-7.485863278208171	-5.821032377978554	-13.220267426688224
4	2	-11.20961456325631	-4.510527552803978	-15.865025191917084
4	3	-16.430963365606203	15.806547361658886	-0.6141048487334047
5	0	-6.390998855280486	16.621879317681305	10.16499796838616
