Folder	Index	∆-ML_BH	HF_BH	DFT_BH
1	0	20.57946916204355	77.66685584397055	98.32542809609733
1	1	19.331996075806728	78.73247927814373	98.2726117168204
1	2	2.0931717644284618	102.95979498801172	105.2038580852386
1	3	22.16170159084777	79.31895716869622	101.68282532357262
1	4	17.987691500650726	76.89195656389347	94.97603300091578
1	5	20.779036224216725	81.21955813962268	102.04111330248998
1	6	16.82603632967357	82.90231201262213	99.75733241715352
2	0	-1.578983085413256	127.38542290736224	125.76227684866171
2	1	10.773437931285116	95.74776371335612	106.47280716866952
2	2	-0.9303652295416214	130.4464253054175	129.5735633221484
2	3	10.94730334683345	97.38056537084049	108.61729560579988
2	4	10.658177881661231	99.49216665854328	110.40826505815494
2	5	11.284562116311008	99.14341666779364	110.6848782475572
3	0	-15.552292442490852	101.89118055507424	86.67092890280765
3	1	-29.66312180502609	139.1552012336615	109.59883899861596
3	2	-15.35343084383635	101.6268864984304	86.39755576985772
3	3	-15.89934854375474	101.50636792895966	85.88287337930524
3	4	-9.463870934071792	87.28315659430518	77.87038673520146
3	5	-9.080504987125096	78.08593235531589	68.9792106183886
3	6	-16.026530039239333	102.01495762972628	86.16444696829421
3	7	-7.61340345546887	77.89460068018525	70.21892539889086
3	8	-30.19577284624029	148.36863959138282	117.86484103469412
3	9	-10.207561289501427	94.33255778995226	84.16990511512267
3	10	2.1968961578577364	38.28701603916125	40.25135503150523
3	11	-13.087102212315584	132.4117905079038	119.33111301501047
3	12	-10.093095265826832	93.96865448189784	83.95405739720445
3	13	-11.414378542892337	124.18678152767824	112.84800219803584
3	14	-7.794786843970996	78.05335652799113	70.2255992233404
3	15	-18.211532272023305	101.78351151905372	83.52343890539487
3	16	-7.637962019424549	77.97975074735587	70.41691014365642
3	17	1.055180281107596	42.87780705434852	43.90124518418452
3	18	-9.605200077322934	92.99422998890805	83.40347610361641
3	19	-10.481870391269467	76.22529361800116	65.7569248979562
3	20	-10.921355157032847	90.41338550802902	79.6211956301704
3	21	-15.381179281607048	101.86343137407675	86.76643100799993
3	22	-6.472560189360593	75.06761337711941	68.60094728789409
3	23	-9.66264722377673	93.36682495017884	83.66663787007565
3	24	-9.82335913643601	93.8421769757988	83.9642779880669
3	25	-6.19368758196606	74.76418266704422	68.65313410456292
3	26	-9.735368722844669	93.11976430416688	83.5256296909356
3	27	-15.792475762640152	101.61529147793772	85.79060210625175
3	28	-5.226369707521826	51.2227004293527	45.7015865863068
3	29	-0.1993017380291348	41.81813102628803	41.45405476144515
3	30	-13.855003162956107	107.42103678532294	93.41757737891749
3	31	-3.876667475549766	72.0631194083835	68.1280650846602
3	32	-14.361091663112802	99.9439896478434	85.7214240184112
3	33	-15.766461347898712	102.00118566025048	86.40641576767666
3	34	-27.62486685406475	134.95879773021443	107.4794731059228
3	35	-9.515655617488846	92.92869091109606	83.51893972381367
