Folder	Index	∆-ML_BH_R	PM6_BH_R	DFT_BH_R
1	0	-1.6294554304913618	-1.3200704865200237	-3.704544485604856
1	1	-0.909297408274142	-1.3880217344600112	-2.2636141282855533
1	2	-1.8229486805503257	-1.962459529099988	-3.4483909267000854
1	3	-2.5054731120180804	-1.7805482316300072	-3.842079693218693
2	0	29.603904193412745	-11.810540773130016	17.515542232766165
2	1	29.229062101745512	-10.714892047139998	17.968965648586163
2	2	-1.7287558700190857	-0.9320939049200092	-2.678687267412897
2	3	-0.7839363725797739	-1.5482258067600014	-1.60491411111434
3	0	33.32648819329916	54.32395332224	86.26700801498373
3	1	30.410623532428872	53.44997980359001	83.77333142998395
3	2	32.5017189248174	54.33334372072	86.20244671931141
3	3	29.438379150786204	52.69273825465	82.42078197194496
3	4	35.76242877164623	46.41140339438001	80.0433392412233
3	5	32.585456771194	53.96231690062	86.35570484850905
3	6	35.29244764355826	33.96383523792	67.32781265111407
3	7	23.14470266806893	6.736522434919998	30.039128339965828
3	8	36.80129857861903	31.151164141530003	67.18171723745763
3	9	37.82789663615404	44.58932478794	83.4139780374826
3	10	26.629371313436422	28.33870059324	55.66093667282257
3	11	30.630371020990424	48.87280163761	81.14074751388398
3	12	24.031316509237516	7.910997929289998	33.045612464338774
3	13	22.762832657899708	52.86053166914	71.91814244838315
3	14	31.623854841076536	38.1171771228	69.27054819243494
3	15	32.5953943222994	54.29500497447	86.64595856028609
3	16	25.01324548057164	30.63683458274	55.87338521407219
3	17	33.70009803655557	32.91806954472	66.05235347567941
3	18	37.7162557519041	31.56583832706	67.55653526948299
3	19	35.18143133324338	53.908416659050005	87.72653929423541
3	20	26.46961378044216	29.05824218286	56.250375582894776
3	21	34.279814547189744	31.246324945380024	66.10205432734801
3	22	32.94996421167161	52.76659078690001	85.84145600293414
3	23	9.055171655287268	31.35372416886	40.2637272044085
3	24	31.93747103927308	53.35290955722	85.90495649716468
3	25	25.4445903513988	29.94707383938	55.34115809077048
3	26	32.49268476353609	54.03914890115	85.41667883709306
3	27	32.38313991003088	54.33724331891	85.94344513924443
4	0	0.1405657115101348	104.06264793914	102.85042405754211
4	1	4.292882313457085	69.90960954717	72.82743834759458
5	0	22.25593623673194	39.88958485673	61.52304281978286
5	1	20.43232167704264	34.337181984560004	52.09140453234431
5	2	21.26436644428759	20.20311717103	41.47023659499246
5	3	23.50378855658346	23.87825209088	47.88190935595776
5	4	31.39708354632603	52.61862974641	81.27599508021376
5	5	20.20670327046537	38.775150721600006	58.56320167178637
5	6	22.095663239160785	25.035351197099985	47.48419876844855
5	7	22.888619116070917	25.74116002077	47.16603906158707
5	8	21.989079858874906	29.763522911919992	50.67662984778872
5	9	27.071554708498297	28.43440102215	53.861100304406136
5	10	18.528420432528947	37.41719809465	55.48316941905068
5	11	24.8561724331812	28.23356595014001	51.93943550740369
5	12	16.578719143406488	36.070067948070005	52.30690172460163
5	13	18.5558385598124	33.07379057805999	50.88608969640336
5	14	5.833097443450242	23.88822131795	30.15452969580656
5	15	22.489453534944914	23.01332766939	46.296949841605965
5	16	21.569536259645247	37.01366232382001	56.85375941923121
5	17	24.6457670146483	32.59795427355	57.06425239614328
5	18	11.750688111409543	22.22860675201	34.54490304130013
5	19	18.665831877471646	32.42606063104001	51.111217120458605
5	20	23.719762427033857	28.16476836717	53.21960371866589
5	21	24.258727489883317	25.322975966260003	48.40103788804845
5	22	32.62210111483	53.44463198088	82.89026038630982
5	23	22.12268064878299	27.243323985870003	49.491179671138525
5	24	20.14770836304524	32.853268415719995	51.77621737550362
5	25	17.31955859620939	31.83841355288001	49.15891130565433
5	26	23.66210626452812	36.26529922138001	56.9471330033266
5	27	22.09474187795422	40.23292245420001	60.24259326557512
5	28	21.253717093612067	33.18323299728	53.03201482762233
5	29	24.62509079638403	29.97290435347	57.631587433599634
5	30	18.222646026639268	32.14166669397001	51.47979026081157
5	31	21.26241802770528	35.13606229454	55.22056803252781
5	32	16.68067148263799	36.36143088911999	53.085098713316256
5	33	29.79902463796316	50.94588430401	81.49530654528644
5	34	18.21318923632498	36.70408588395	55.03717622524709
5	35	33.43728479539277	53.48651288137	86.7334954305843
5	36	19.85215328236518	32.198839277249995	50.80999795075331
5	37	22.308063788426807	37.07833200569001	59.61446508357767
5	38	21.329555796575733	36.008838952480005	56.44307938159909
5	39	20.712619260477368	32.130156998779995	52.3928520049667
5	40	25.409646182262804	34.66000691148	59.10741585091455
5	41	20.41199302492896	35.84756485441999	55.42189891386079
5	42	21.102321036043577	30.59940443595	50.9085048912093
5	43	6.033699505176628	24.40411901794	30.31421489783679
5	44	23.818511265417328	36.42789240292001	59.1311362926208
5	45	21.41304343927186	26.720487261069987	47.08353177362005
5	46	15.525809846440096	33.29675488971	48.61466714736889
5	47	19.171888095937906	32.36436119309	49.987812295235926
5	48	19.05774259241298	25.36891558515001	43.563615159509936
5	49	21.432575567247117	31.50458857666	51.8178146269056
5	50	19.262800067663196	29.23547442372	49.04197640001075
5	51	25.07761551369913	38.3119494842	63.54086926372838
5	52	18.317631835816428	32.99358015567999	49.28635045120609
5	53	33.67660506392713	54.720681515390005	87.74702429168974
5	54	19.58607345799101	32.91705025293999	52.17479505282245
5	55	21.756669653521385	33.23222357323999	52.67752959110658
5	56	23.87118798593292	47.37950920074	72.60388828901341
5	57	18.926144334167475	39.65437290109	59.57004517794121
5	58	22.79537029462517	37.05369143404	59.42829674395034
5	59	21.431640097580384	33.31190590101001	53.78500164052821
5	60	21.58408281687298	36.04613534605	56.46217841896578
5	61	18.47940278504393	33.49644614108	52.15961867457372
5	62	34.867518443992594	53.7273540027	88.57575463067042
5	63	20.318680689582838	41.11371277488999	60.01888639293611
5	64	20.66184375458397	31.3809268065	50.52721135842148
5	65	16.791251865011873	32.61696337341999	49.54716231193743
5	66	24.011159735237012	35.09565267946999	57.82793485443108
5	67	17.459091337397695	26.409670144779994	44.21629628172377
5	68	22.820249817479635	39.9166652716	61.47129416023381
5	69	22.55265502628754	19.02229762307	41.71569220238598
5	70	18.464430946623903	33.67745114518	53.156686665228335
5	71	23.801844383357093	33.66384982636	56.54617544109351
5	72	20.129037918552054	27.43201749403	46.30911677243421
5	73	17.574707789288368	25.74502272152	42.36984691614634
5	74	21.112455554888584	41.73356209381	62.39665658847662
5	75	23.417483626690228	33.69954118129	56.19829715244123
5	76	22.317326765914917	34.53560719252	57.25268301006872
5	77	22.35048873705091	25.57076764285	48.20111372155952
5	78	22.482301097625168	34.70376496923002	55.38244171394035
5	79	14.9055348977854	32.914619634080005	48.3132565721462
5	80	21.0861617368646	35.45092659878	56.01359779216
5	81	17.277581706410274	32.3238408857	48.2150309747376
5	82	18.253766401758185	32.28294929782	50.02105688871234
5	83	24.09667615464423	30.735496031210005	54.827402748400345
5	84	19.580319459491875	35.857923810699994	54.21505975243053
5	85	35.07099734962685	52.26528371834	86.82737635451485
5	86	22.083774618047755	30.10032735642	51.120536030153744
5	87	24.008361925021745	38.25914924756	60.10998847841984
5	88	24.10460014050477	29.19072244118	52.48908514063805
5	89	25.275190971413394	38.34923204123	63.31310136656976
5	90	19.55324012762867	32.98630905391	51.4891091704776
5	91	25.36903575889301	42.40978378278	67.53486494178651
5	92	23.739123311883304	31.72934241415	54.75434120502905
5	93	19.658548238279764	38.14887894203	57.71591653273208
5	94	22.270030031329952	25.49980694745999	46.423872423009016
5	95	6.131607086601434	22.47309841381	28.493725187407108
5	96	19.81962993327761	34.39329146035	53.21757205339964
5	97	18.62702256510965	35.53416030515	53.20096589930472
5	98	22.208495566243077	32.15692839758999	54.067184037267
5	99	22.813564860261977	36.60231582616	57.59259145168471
5	100	22.19740625616396	34.00880629901	53.85249167043367
5	101	33.472653651901055	51.60993214387	86.30294150937698
5	102	22.748668276151875	22.6060929302	45.97668928676285
5	103	26.743145971762715	30.483613350959995	55.82473363331519
5	104	23.26814146016841	31.11583253664	54.29341607843526
5	105	25.16025935477228	31.546958368229987	55.18928130948916
5	106	23.54470091476105	40.840660188440005	63.37925847651786
5	107	5.526101863506483	45.59987187466	53.78675426889095
5	108	19.07967151570483	40.20662841602001	58.710007361194585
5	109	22.98321041741292	25.54941786163001	48.27285618145834
5	110	22.10707617283333	28.69429505906	50.27939662095741
5	111	21.860449361323845	32.36819160858	53.5299250256212
5	112	11.472318513318896	18.619322232110004	30.772753221244784
5	113	21.238705360650783	23.137630532570007	45.88475239672698
5	114	22.188585214462364	33.44941804771	55.59545294113923
5	115	26.066569113056172	31.32574668498	54.764808547566645
5	116	19.98170658078743	29.94445181505001	48.69744424792589
5	117	19.56779622961767	29.75299099889	50.26661627014983
5	118	24.869381037337007	31.573469178870003	55.88363347799168
5	119	19.03132327026105	34.641678108159994	52.42284731758991
5	120	22.48029757520999	35.26755324025	56.85771666964865
5	121	25.066987910337048	39.43065911019	65.63178723020246
5	122	33.87554689581157	51.318799811820014	84.8886303488689
5	123	22.64172657066956	40.52216609854	63.11068431689637
5	124	20.53811221002252	31.46499531745	51.01548210022156
5	125	19.573822324338835	28.98503074363001	47.557490920851706
5	126	35.69530053331982	53.04165658992	88.41971766296774
5	127	20.168620100885164	24.62970304783	46.32587282237364
5	128	21.895287450926844	33.65356235887	55.22438922361471
5	129	15.660907345358282	35.670773076749995	51.96519683877705
5	130	24.799192461534403	28.34597861328	51.92056707903976
5	131	5.460951770772226	49.19310600816	55.12741352696321
5	132	20.463434822449926	34.969560290450005	54.27213086778647
5	133	19.68138320033904	33.55597785443	53.34774391559768
5	134	33.30336438532686	52.52223979659	84.73998670576839
5	135	35.92649924126454	52.31753279947	90.1362119387486
5	136	20.777020287147025	39.57061110011	58.67443822903442
5	137	22.649209769413574	39.256076566740006	60.603072030004114
5	138	22.063621627021348	25.643017442550004	45.38282960219658
5	139	21.65427639032714	36.12957890661001	57.27080426525208
5	140	9.619385521422371	40.04841680547999	52.4510000643204
5	141	23.63333509999211	23.11369101228	44.51673368690536
5	142	13.29094836427248	19.727677514	33.74255898411502
5	143	20.1134137789777	44.10736812057	62.44643584714504
5	144	6.076843306218507	23.99187314518	30.02456538163824
5	145	21.589952186885057	39.45017785595	59.38481080479687
5	146	23.45771411326132	39.48707068377	63.53538538166322
5	147	22.33107402097085	37.15384492274001	59.13473148696357
5	148	21.875071987422416	25.94636513333	48.15204243248445
5	149	23.675601777533306	28.93320828915	53.11630241712555
5	150	23.29568818799453	33.58728994445	57.40561367452028
5	151	22.11862669471884	37.85985437624	58.79626665767864
5	152	20.536313881893875	35.36484717735	55.17704750204575
5	153	24.62579874935909	24.19396503624	49.65992319470388
5	154	18.0822301346343	38.70029734629	57.72788052764372
5	155	11.284028700058116	12.114405028069996	23.829796527774302
5	156	18.290620018611666	32.77818443141001	52.06898241926683
5	157	21.69703057190054	27.2913759832	49.794732603855664
5	158	21.545655752473976	33.184512877230006	54.04555983131286
5	159	5.648664020962315	22.48437288782	28.50422712127329
5	160	18.511873420327905	36.75781778095001	55.23477815909428
5	161	21.44419590604957	28.16896545097	50.02925042639254
5	162	21.09694110712735	29.9306037446	52.586240712349536
5	163	21.356410269072512	29.63380073724	47.79556012200192
5	164	35.24827750120312	44.41382442067	78.52962176525034
5	165	17.432164358790033	34.614936688520004	52.16798516904237
5	166	18.49946329722297	33.814103120309994	52.033090434473706
5	167	21.25251021044096	32.72956744203002	53.52828308954486
5	168	23.563325050316053	43.30675824309	67.19173719850369
5	169	13.35044214289519	26.31390975753	39.65934252506122
5	170	17.933546207699692	33.04671016319	50.98767065478023
5	171	22.958013105147984	36.06352557074	59.4575471895223
5	172	21.739583643327933	26.872947483149986	48.81387642590562
5	173	18.839489061792847	33.511138240469975	51.67183912987821
5	174	26.3587658405304	48.51772604204	73.32332841071184
5	175	18.41433409304591	31.063412804850003	50.0939662301098
5	176	20.88383252368658	31.32323535297	51.49666853348026
