Folder	Index	∆-ML_BH_R	R2S_BH_R	CC_BH_R	DFT_BH_R
1	0	2.691076181821927	-3.7646273544814894	-1.060633055443759	-1.5338796208670828
1	1	3.5846212133292	-6.61306821287144	-3.0299924058199394	-3.704544485604856
1	2	12.515815961624751	-7.718181132222526	4.801872045150958	2.2779141924111173
1	3	2.857901355282195	-4.641202142636757	-1.8242140457732603	-2.2636141282855533
1	4	4.532946055936833	-7.100388845574344	-2.5457780763390474	-3.4483909267000854
1	5	2.2650647066329554	-4.169899611064466	-1.9068989027000496	-2.2853398022125475
1	6	3.537003053731212	-6.799856890720548	-3.19116042368114	-3.842079693218693
2	0	13.295038084001549	6.429028394311899	19.72959156871366	17.515542232766165
2	1	5.424642710736805	-8.038792212755652	-2.8266598382906523	-3.5917305627954192
2	2	13.095306586145398	7.180283333611442	20.273994847171707	17.968965648586163
2	3	3.2218568783080457	-5.318945851002354	-2.150297477870481	-2.8183994239661843
2	4	3.605875266826701	-5.404999905440491	-1.69521598337451	-2.678687267412897
2	5	6.247327951621003	-8.040092847455526	-1.7807465553923976	-3.024741438886849
2	6	3.0117634650717946	-4.182931325689424	-1.2165247394004837	-1.60491411111434
2	7	5.338341349769252	-6.792934008524753	-1.551855592435459	-2.811780945659848
3	0	12.248679004124313	75.40294192396686	87.5637916046544	86.26700801498373
3	1	17.352149131744937	94.97962588912924	112.29827646381456	110.83177848666674
3	2	12.466301105145844	75.13466294383397	87.59808546904242	86.20244671931141
3	3	12.939227846886697	70.68710779066896	83.59519058966544	82.42078197194496
3	4	12.24227892613601	70.42740977140784	82.68324268700962	80.0433392412233
3	5	12.387049551608015	45.761579517653445	58.06855459115468	54.98521309930948
3	6	12.34849094342161	75.15852866924251	87.53581412081257	86.35570484850905
3	7	12.6873734544821	45.87405675128685	58.61452601081692	55.36062379649957
3	8	16.596414966322016	100.99696417839732	117.57357264330494	117.63538738578792
3	9	13.198772189376143	57.66143746254966	70.80614585036528	67.32781265111407
3	10	13.140754251456116	22.21917484392179	35.35898740266566	30.039128339965828
3	11	11.275965791226582	77.80887639665161	89.1011465031479	94.04390219855122
3	12	13.644813350660456	57.48681802168721	71.11279124987777	67.18171723745763
3	13	15.130660933726062	68.18388399312971	83.38380976810004	83.4139780374826
3	14	12.40398198378844	46.27884472897858	58.764216618816135	55.66093667282257
3	15	13.531118690793676	67.94799174091895	81.54025685158558	81.14074751388398
3	16	13.18792793542093	46.01751399802743	59.140233817714034	55.47434631874785
3	17	12.959582411529254	24.807527953817043	37.76938877161592	33.045612464338774
3	18	13.790175190685003	56.335066738160094	70.08793256859644	66.0810965813871
3	19	11.454778061609744	63.57936482409423	75.08840047236299	71.91814244838315
3	20	12.391364996071871	58.55910605596728	70.98782192668295	69.27054819243494
3	21	12.646691783307006	75.32148851911188	87.89070984133286	86.64595856028609
3	22	12.698427978956945	46.23270448023686	58.90778917004354	55.87338521407219
3	23	12.377088789589266	46.61299486388452	58.98993901416543	56.250375582894776
3	24	13.50969270036697	56.4296371829696	69.91300872381544	66.10205432734801
3	25	13.111655034450251	73.97804581042146	87.06386127186124	85.84145600293414
3	26	9.675343511319994	32.79981555562699	42.46519681936479	40.2637272044085
3	27	12.674978992826908	19.67136510231649	32.35522907669656	27.3418101714924
3	28	12.895159988900955	74.01508161579841	86.87399165777606	85.90495649716468
3	29	13.526747024863624	45.04729350708658	58.50393054660526	55.34115809077048
3	30	12.772734694961144	73.8617727526871	86.61153324876796	85.41667883709306
3	31	12.14350905132082	75.0190309790778	87.13367814655066	85.94344513924443
3	32	15.847124602881422	90.95520596572896	106.87915636927936	106.91017789198668
3	33	13.562164014492168	56.01652652648045	69.57900156651158	66.02468500784016
4	0	11.77565010825279	90.1809154934017	101.8248527945252	102.85042405754211
4	1	14.257512302557558	68.79752301165718	82.94936777910334	80.95336847702856
4	2	12.278540027052998	60.33734358544461	72.58685320222867	72.82743834759458
4	3	8.682277551710513	68.93846892635338	77.58843725355109	78.55863468354801
5	0	6.8338374105026105	57.52258778363466	64.3832355128543	61.52304281978286
5	1	8.18066848361255	47.439850351715	55.62411302770488	52.09140453234431
5	2	7.26325756559865	37.38504889397882	44.62929624589742	41.47023659499246
5	3	8.417886657889142	41.87454259986407	50.34317615200416	47.88190935595776
5	4	9.369033918206298	69.38460970993037	78.8251149134885	81.27599508021376
5	5	6.575631492957825	54.94307391671464	61.51257778337458	58.56320167178637
5	6	7.8085584222259	43.151198636041954	50.96386258164421	47.48419876844855
5	7	8.623329398177617	43.23856946788146	51.86594041911303	47.16603906158707
5	8	8.939930465440028	45.54958066393738	54.48574167836341	50.67662984778872
5	9	7.225251858385718	49.82319897887646	57.06738637248054	53.861100304406136
5	10	6.768569197400893	51.09687554676202	57.91411804995733	55.48316941905068
5	11	7.79261590096047	46.45857907750178	54.17010483398917	51.93943550740369
5	12	7.406785853869394	47.26152041199384	54.69709482690087	52.30690172460163
5	13	8.300533910148914	46.0845843195566	54.4873005952104	50.88608969640336
5	14	3.637566344672706	27.5816412254062	31.30525476919138	30.15452969580656
5	15	8.13572218740498	41.58763041248312	49.76618320963462	46.296949841605965
5	16	7.395528575126463	52.82861768962175	60.32479845582566	56.85375941923121
5	17	7.036457590204435	51.69854595820652	58.8096650406078	57.06425239614328
5	18	5.99621042933228	28.95494779956061	35.01601877959911	34.54490304130013
5	19	8.49312922061742	46.15101354813669	54.65398708649445	51.111217120458605
5	20	7.976501520060509	47.54222921721521	55.46602133385022	53.21960371866589
5	21	7.782730268723668	42.88777858755202	50.58093633712269	48.40103788804845
5	22	6.5523468470262	61.81838837830583	68.45202922000317	65.95325617617345
5	23	8.790954003580822	71.26910725442576	80.0898369338829	82.89026038630982
5	24	8.10758589198386	49.15765448665479	57.34842264250619	53.89334174868418
5	25	7.780927498752362	45.50110895821126	53.29681622405769	49.491179671138525
5	26	6.872929116085402	48.129505014861934	55.093002052017255	51.77621737550362
5	27	8.689240014667632	44.140326758875744	52.91400759015232	49.15891130565433
5	28	8.191664520500922	52.38785932009341	60.564592612267006	56.9471330033266
5	29	7.814802853917257	55.44115476537263	63.29938013109495	60.24259326557512
5	30	8.017446934552538	48.32751512664254	56.238658339658286	53.03201482762233
5	31	6.371538050894912	51.64197757048533	58.1064482620568	57.631587433599634
5	32	7.997034056768655	47.07885041087866	55.03591940621845	51.47979026081157
