Folder	Index	∆-ML_BH_BH	PM6_BH	CC_BH	DFT_BH
BH76	0	-17.618934002675815	82.22424775776	43.82262826999067	43.02965155041602
BH76	1	-20.039478960730776	69.78684945820001	29.13173496507079	30.322625208056706
BH76	2	-2.864257941619144	39.11189290166999	37.884326603321824	37.95248770545004
BHDIV10	0	5.643056312808767	13.47815285919	24.05039248499088	22.724402265506797
BHDIV10	1	-6.4870460318925325	61.87507898876001	51.18790383732994	53.5682199561561
BHDIV10	2	-31.196006603218848	92.15209896098	62.14369004586479	62.44910860546224
BHPERI	0	-2.4330660086125135	38.011906420390005	33.10489281389164	37.647189062525285
BHPERI	1	4.129241968214046	30.136948065620004	30.787034836626844	31.15330188695225
BHPERI	2	-2.17211856044014	37.258654407150004	27.169676695601083	28.655527380033163
BHPERI	3	-2.815281031289487	39.22285503420001	37.50803497974994	37.57636673255183
BHPERI	4	-8.490720491085085	36.43888322786	26.57519206062716	24.696602718744543
BHPERI	5	-10.231589977542171	37.93277524813	35.18271680132602	38.629634136508685
BHPERI	6	-6.500178092974238	29.01409900808001	25.142614361277083	26.36096091181389
BHPERI	7	-9.280176654603565	32.17666852799002	20.739396094431868	23.644368443085114
BHPERI	8	-7.692577193840407	34.78413912399998	16.46787170926109	21.664795420103474
BHPERI	9	-7.434955640492262	36.664596398789996	23.187031592562562	30.879400659381645
BHPERI	10	3.8903312721813563	27.798881821679984	29.716015151847387	32.14018157200189
BHPERI	11	0.4825290632143151	22.443502054750013	22.658180585014634	24.984949294070248
BHPERI	12	-6.068149600614561	27.225043610439982	16.413584044552408	19.61292878165841
BHPERI	13	-8.89834793220507	24.17209638477	13.874007044214522	17.567450012575136
BHPERI	14	-11.460218958440237	21.44839654667001	8.990778449981008	10.811976130062249
BHPERI	15	-15.321575341338757	23.55414728401	7.130637828086037	9.563138457539026
BHPERI	16	-0.2055093030212447	17.26995287213998	16.072024442459224	16.431011166685494
BHPERI	17	-0.4298685917747207	14.175765839000007	8.868636393133784	9.012451083806809
BHPERI	18	-9.280437704583164	32.17863792884998	20.653867828514194	23.743265112716472
BHPERI	19	-1.3939442769624293	30.130926864630013	25.356409659114433	27.84552249193075
BHPERI	20	-2.818279060506029	36.44960424026998	30.31916837915196	33.73522100577247
BHROT27	0	1.490763271409378	0.7151692429800036	2.564683402153605	2.4080791363376193
BHROT27	1	3.2262355538259726	5.018976582090005	7.535778637568001	7.639709501701873
BHROT27	2	1.5452114724030253	2.4632569517700063	4.018283417943167	4.133740119897993
BHROT27	3	0.755265980551485	2.579557682649991	4.044120850303443	4.028515539277578
BHROT27	4	0.463386394068948	0.34513634766999957	0.7604654627502896	0.7841789862286532
BHROT27	5	-1.0738138232700294	7.786286888179999	6.641410058975453	7.493021422880702
BHROT27	6	-4.79476822844299	10.48087003394	1.0990271478367504	1.0782446647644974
BHROT27	7	-4.795479308551876	10.468359495689995	7.6592490022594575	8.749619088252075
BHROT27	8	-2.2619844030268723	7.8943295107700004	6.238579951677821	6.896267595308018
BHROT27	9	0.013546164380386472	0.1327731317499996	2.176114155416144	2.4668590643559583
BHROT27	10	0.9718958598095924	1.8242670858500105	1.9001974051934667	2.245363732043188
BHROT27	11	-2.006558669381775	1.3860592518699946	3.6553532798425294	3.8479533044737764
BHROT27	12	-1.1508860896574333	0.3217341463500034	1.9273377784411423	2.1794533737702295
BHROT27	13	3.8449631607800256	0.498468271769994	5.840126803188468	5.455579377419781
BHROT27	14	2.8248481207410805	-0.06517932775999213	2.9926291356387082	2.759976939894841
INV24	0	5.596935968089383	1.725095991490008	4.1130544926272705	4.095950223039836
INV24	1	2.0894408812746406	17.323643259519997	24.756936951423995	24.895678244065493
INV24	2	-4.248666929197498	26.565561828780005	36.813447589986026	37.46004294080194
INV24	3	-208.71997574501438	10.142393674189975	10.276038507930934	9.731748227903154
INV24	4	-40.624383962887805	24.934540472749973	20.177683304413222	18.79903121368261
INV24	5	-11.237766265985556	40.75513884078998	40.931386381271295	39.70184837584384
INV24	6	-212.06885269179475	8.969546279359975	7.237188410479575	6.750548074254766
INV24	7	-156.82944600773044	73.58278659661005	67.09705836744979	66.15629587019794
PX13	0	16.460400812284206	50.303963397699995	56.60769269797311	55.2106679881399
PX13	1	6.938596728403354	41.44372809043	41.98817979679734	39.44824535252701
PX13	2	6.3775736966053955	24.28858852111999	45.92856810669764	43.035278410010505
PX13	3	4.260401242499938	10.33728825835999	26.12033886901918	23.08981145033613
PX13	4	-5.182190560823074	7.849508345529983	20.837962993216934	16.785162020125426
PX13	5	-23.81822450074833	11.719196548229974	22.32536798232468	17.172204635309754
WCPT18	0	5.144680481011164	30.25402825492	33.871651596273296	33.71042362001026
WCPT18	1	6.111974497049232	26.651055503349998	33.063955104211345	31.805069797570468
WCPT18	2	7.194737870377139	50.34445372592	56.65248619012709	54.91734256449854
WCPT18	3	1.3427470759197604	40.582933876130014	44.05442029416736	44.2303887977032
WCPT18	4	6.111175403886591	56.64734822160001	61.19689251111413	61.72221058874857
WCPT18	5	0.004413960865349509	79.44447534130998	77.10296610501246	82.86863156819891
WCPT18	6	3.1937146481941454	-2.039821930330021	5.3434826486045495	2.702280874189455
WCPT18	7	2.8203186184400693	-2.7081106697000052	2.173888778546825	-1.5394718891184311
WCPT18	8	1.9373276353580877	16.74550419043	27.482965940405848	22.6721693269792
WCPT18	9	5.364537450746866	6.9954156287700044	8.82751880842261	5.988436063285917
WCPT18	10	3.394532377948053	25.63197818972001	33.26203901084955	29.39613740792265
WCPT18	11	7.1466464988770895	41.014961388909995	58.006850541045424	53.05832962063141
