Folder	Index	∆-ML_RE	R2S_RE	DFT_RE
BSR36	0	-2.059993092337379	13.08908088481985	10.812833995529218
BSR36	1	-1.8593982016001291	12.928341799619375	10.810843839892186
BSR36	2	-2.4454371715310117	14.827210897026816	12.344838765216991
BSR36	3	-1.666306934630029	12.208696435991442	9.99848673993256
BSR36	4	-1.3357385040525003	11.879926408990286	9.878062720148591
BSR36	5	-1.6923276105506204	14.937271348258946	12.279922331741545
BSR36	6	-2.6506302283684704	17.21957864210708	14.484489025606308
BSR36	7	-2.1185043883861567	16.001324335229583	13.34756820689654
BSR36	8	-2.780604247399822	17.83645541104488	14.595900845655706
BSR36	9	-2.2981864996572483	15.408965915150475	12.656163221341558
BSR36	10	-3.138747675227819	17.049107857164927	13.663015951868147
BSR36	11	-2.797985765367656	16.73413055454148	13.702832901850343
BSR36	12	-2.0646121036595275	15.184244362986647	12.446115319791716
BSR36	13	-1.5215098226096302	13.913717913965229	11.240325429302175
BSR36	14	-4.567593325460393	19.383994003001135	15.130542445171159
BSR36	15	-1.6367184401179031	7.649556505988585	4.951548816607101
BSR36	16	-2.496040740947649	16.462482376839034	12.816457231121603
BSR36	17	-2.289921315414176	12.846973720006645	9.630640017916448
BSR36	18	-2.924080393250023	21.77015605987981	17.52402633789461
BSR36	19	-3.229310348608408	18.081655042478815	13.857361686590593
BSR36	20	-2.988848076853742	17.855157800891902	13.960114138724748
BSR36	21	-2.8406654706570578	16.371230395510793	12.4091048813425
BSR36	22	-2.9131108088325277	18.09301945392508	14.25249175936915
BSR36	23	-2.849099807821119	17.479993855347857	13.560510251380038
BSR36	24	-4.945250752796198	31.57179495715536	24.11272840364836
BSR36	25	-4.785488676689283	20.57784295908641	13.76055202819407
BSR36	26	-4.60277287649194	27.37182623858098	20.350506301037967
BSR36	27	-4.958213889698698	38.422662558732554	30.503722455585375
BSR36	28	-5.302658400930625	35.33554369141348	27.786445078090765
BSR36	29	-6.119304779319236	41.51370639097877	32.57657220668625
BSR36	30	-4.644587068703004	36.462940358323976	29.24870907398872
BSR36	31	-10.325249557362383	43.17419035290368	33.76431924907956
BSR36	32	-10.355600107840417	57.6133577915607	46.118271681829356
BSR36	33	-11.92758944522194	48.76398647436872	37.727784601505846
BSR36	34	-11.052399740224985	72.66313174064271	59.21195782860741
BSR36	35	-18.548118109248037	72.16210601502098	56.43994540523272
CDIE20	0	-0.44707654573229405	-1.3284854089142755	-0.8248030676768394
CDIE20	1	-0.6184311758360224	5.116434251583996	4.236577897332609
CDIE20	2	0.14293673554078623	-5.428925589192659	-5.648015669634333
CDIE20	3	-0.44488560361939733	-2.781787939136848	-2.1016066936135758
CDIE20	4	-0.3295402164857464	-0.4168165431183297	-0.06275101500796154
CDIE20	5	-0.661830954126863	4.762603944633156	3.713997148530325
CDIE20	6	-0.542000283017714	5.20918057920062	4.373259851621697
CDIE20	7	-0.9080403989918864	2.413307042355882	1.144664668943733
CDIE20	8	-0.7739886164631713	3.1941421980736777	1.860855509818066
CDIE20	9	-0.9214066899910733	5.0939821593347006	4.623449861828703
CDIE20	10	-0.7119899728393904	1.6651607123785652	1.1694828095205594
CDIE20	11	-0.7325739018167639	4.8958821100823116	4.493635443534004
CDIE20	12	-1.0418545853771661	5.370085702859797	4.738424590963405
CDIE20	13	-1.5447145781350713	5.859004455909599	5.222106213652296
CDIE20	14	-1.2278651020910516	5.07844603099511	3.39546846729354
CDIE20	15	-1.5246749724816695	1.8583672386885155	-0.17102655264898203
CDIE20	16	-1.5438079721869258	5.189027658692794	3.423870271712076
CDIE20	17	-1.0069314813462853	7.094978758424986	5.8242032517446205
CDIE20	18	-0.5884023258466868	6.626185252767755	5.906664417969296
CDIE20	19	-1.5468925587612077	9.870120546169346	8.536356497206725
ISO34	0	2.82543492677533	-3.6264418294886127	-0.7094478336803149
ISO34	1	0.40380513835548015	20.23059653947712	20.873536737562972
ISO34	2	-1.0935048953043562	6.800403434011969	5.865652913416852
ISO34	3	-0.15703516448846955	1.2298447152861627	1.213238561162143
ISO34	4	-0.11013604364530494	1.0284538755513495	0.9783656007784884
ISO34	5	-0.09959618652605684	3.339557315237471	3.3474879587156465
ISO34	6	-3.098641596929923	12.590785569831496	9.890105122089153
ISO34	7	0.024394684658425092	19.938532547064824	19.80773804054479
ISO34	8	-1.8245802578768107	8.414364336218568	6.748474899388384
ISO34	9	-1.0018752036506058	4.39320061187027	3.804368203447666
ISO34	10	-2.517093157976632	1.3998773431812879	0.3976944448368158
ISO34	11	-2.0052848404126777	51.77925910821068	49.72418469862896
ISO34	12	-3.3855627087618245	39.6014296868816	37.79309076460777
ISO34	13	-3.7045061930005865	26.749557831601123	23.110522444621893
ISO34	14	-1.7368185877335165	9.136606357220444	7.277985448658001
ISO34	15	-0.21044830138657744	9.760260724651744	9.940696124540409
ISO34	16	-3.222515781882528	28.88398941028572	25.498457884794334
ISO34	17	0.8929037036600747	9.510412015777547	10.275155275478028
ISO34	18	1.0444427357282322	3.7368159090692643	4.651616445102263
ISO34	19	0.4007177618745317	17.448213629162638	17.90984903142089
ISO34	20	-0.47903460441919776	1.5311653529643081	1.270521836791886
ISO34	21	-1.3439015446391451	3.547485920076724	2.210813891637372
ISO34	22	-1.4277343531469313	5.450588998675812	4.3550140675506555
