Folder	Index	∆-ML_BH	R2S_BH	CC_BH	DFT_BH
BH76	0	0.2615061093987663	43.61508708827023	43.82262826999067	43.02965155041602
BH76	1	0.29248524854925506	29.113258571989718	29.13173496507079	30.322625208056706
BH76	2	5.045813626697765	31.396769644794404	37.884326603321824	37.95248770545004
BHDIV10	0	7.182232108765902	16.51995013974374	24.05039248499088	22.724402265506797
BHDIV10	1	-1.4051668090505984	63.14409956095915	62.14369004586479	62.44910860546224
BHPERI	0	1.5597452488237025	32.52399566116219	33.10489281389164	37.647189062525285
BHPERI	1	3.617344579937793	27.027114211814478	30.787034836626844	31.15330188695225
BHPERI	2	3.9440501505867473	25.268584527511848	27.169676695601083	28.655527380033163
BHPERI	3	5.03170864807953	31.3919199375232	37.50803497974994	37.57636673255183
BHPERI	4	3.586305069981819	22.962999561234028	26.57519206062716	24.696602718744543
BHPERI	5	8.550041429743828	28.481823456910206	35.18271680132602	38.629634136508685
BHPERI	6	7.3326022974960665	17.426444139535306	25.142614361277083	26.36096091181389
BHPERI	7	7.672659628158726	14.151415834698128	20.739396094431868	23.644368443085114
BHPERI	8	5.893927227349138	9.881247430399526	16.46787170926109	21.664795420103474
BHPERI	9	6.889089037565498	21.16541854888783	23.187031592562562	30.879400659381645
BHPERI	10	5.764217606020281	23.42499010139727	29.716015151847387	32.14018157200189
BHPERI	11	4.067221520123724	17.531320500565926	22.658180585014634	24.984949294070248
BHPERI	12	4.4560786652700415	12.67249725680449	16.413584044552408	19.61292878165841
BHPERI	13	4.49659365328796	9.253006249957252	13.874007044214522	17.567450012575136
BHPERI	14	3.2817897912804312	5.166229652939364	8.990778449981008	10.811976130062249
BHPERI	15	3.2152727700991193	4.165241309267003	7.130637828086037	9.563138457539026
BHPERI	16	6.216985664143522	10.214152276719688	16.072024442459224	16.431011166685494
BHPERI	17	5.140108310696178	4.04259191264282	8.868636393133784	9.012451083806809
BHPERI	18	3.2139911168138724	-0.5534662121790461	3.2447977710398845	3.2441751267178915
BHPERI	19	7.680633821499555	14.156699086888693	20.653867828514194	23.743265112716472
BHPERI	20	8.398174890502133	19.377276362880366	25.356409659114433	27.84552249193075
BHPERI	21	6.930394951905043	25.0253104812291	30.31916837915196	33.73522100577247
BHROT27	0	-0.5153754218197264	8.048909029574133 7.535778637568001 7.639709501701873
BHROT27	1	-0.04201737498422631	4.14184833233594 4.018283417943167 4.133740119897993
BHROT27	2	0.014342652574640624	4.050969937612535 4.044120850303443 4.028515539277578
BHROT27	3	0.09875290229523159	6.833465846328181 6.641410058975453 7.493021422880702
BHROT27	4	-0.12663003517555182	2.2934387902496383 1.0990271478367504 1.0782446647644974
BHROT27	5	-0.2993266943541357	2.412622133619152 1.9001974051934667	2.245363732043188
BHROT27	6	-1.4918522676489943	5.739680441096425 3.6553532798425294	3.8479533044737764
BHROT27	7	-2.0706273077018977	4.183872210443951 1.9273377784411423	2.1794533737702295
BHROT27	8	-1.3705123447984988	7.197950289104483 5.840126803188468	5.455579377419781
BHROT27	9	-0.5948629823723479	3.6258883678819984 2.9926291356387082	2.759976939894841
PX13	0	6.668689440471169	52.142989459549426	56.60769269797311	55.2106679881399
PX13	1	11.050301484143148	35.97992750213598	41.98817979679734	39.44824535252701
PX13	2	13.007455759406724	36.066682607954135	44.99578698698315	42.59559006625204
PX13	3	4.914057949846651	41.367495673301164	45.92856810669764	43.035278410010505
PX13	4	9.942747768873616	20.844855896226363	26.12033886901918	23.08981145033613
PX13	5	12.954541457846062	14.08634258704842	20.837962993216934	16.785162020125426
WCPT18	0	1.8451573607474927	32.618494617185206	33.871651596273296	33.71042362001026
WCPT18	1	2.343325209952013	30.774957843284938	33.063955104211345	31.805069797570468
WCPT18	2	3.5445993719808087	53.086212554815575	56.65248619012709	54.91734256449854
WCPT18	3	2.201623630494197	42.188357633160194	44.05442029416736	44.2303887977032
WCPT18	4	2.9216326421281025	58.52764637618384	61.19689251111413	61.72221058874857
WCPT18	5	5.632375595847805	74.2783448502305	77.10296610501246	82.86863156819891
WCPT18	6	6.095795303811144	0.974332249345025	5.3434826486045495	2.702280874189455
WCPT18	7	7.906920208242042	-2.6813508013729006	2.173888778546825	-1.5394718891184311
WCPT18	8	9.5057430156576	18.746761377668008	27.482965940405848	22.6721693269792
WCPT18	9	9.670418518780735	24.63033030432416	33.26203901084955	29.39613740792265
WCPT18	10	11.506467904804936	46.45048470160691	58.006850541045424	53.05832962063141
