Folder	Index	∆-ML_BH	PM6_BH	DFT_BH
1	0	3.0574475253815763	95.50191837671	98.2726117168204
1	1	5.5941963188233785	95.20670426536	101.68282532357262
1	2	1.1094195535115432	93.6658118248	94.97603300091578
1	3	5.113013510417659	94.48240290598	99.75733241715352
2	0	34.2828394103708	91.96240460976	125.76227684866171
2	1	35.22118535486516	94.76149744823	129.5735633221484
2	2	1.819345668074675	108.51600752084	110.40826505815494
2	3	4.353695633355528	105.3462268575	110.6848782475572
3	0	24.80770607484737	63.26371875534	86.67092890280765
3	1	21.39057969860733	63.03055691371	84.93732805139734
3	2	24.515998349539583	62.67273015277	86.39755576985772
3	3	24.84715465822956	60.88126258499	85.88287337930524
3	4	25.865072736603903	54.08366105033	77.87038673520146
3	5	24.04305698737153	62.419876608630005	86.16444696829421
3	6	31.89115281231352	53.80759440425	84.16990511512267
3	7	15.131845758936834	24.883045483050005	40.25135503150523
3	8	30.605122032255167	53.963659045	83.95405739720445
3	9	31.367858625482768	80.14084533861	112.84800219803584
3	10	23.20140349300345	46.4958247371	70.2255992233404
3	11	25.39453075142228	56.832591819120005	83.52343890539487
3	12	17.241755212366115	26.49926174128	43.90124518418452
3	13	13.389010082624736	56.82416075408	65.7569248979562
3	14	26.88094402628485	53.81293530869	79.6211956301704
3	15	24.191489400691356	62.79700303678	86.76643100799993
3	16	23.87325529824011	44.66518823067	68.60094728789409
3	17	28.12598429279751	54.29578443289	83.66663787007565
3	18	31.62654542722157	54.10338042592	83.9642779880669
3	19	26.07593188798637	61.80620761090999	86.67410208267393
3	20	22.4331204466871	44.90510230382	68.65313410456292
3	21	28.982606953242797	54.20721212817001	83.5256296909356
3	22	24.934332842909495	61.13590796106001	85.79060210625175
3	23	2.6504542114853398	43.403487188140005	45.7015865863068
3	24	27.69819910006481	65.49367319398999	93.41757737891749
3	25	25.536212670209352	43.2063949002	68.1280650846602
3	26	24.62883151479764	61.69371654071	85.7214240184112
3	27	23.99355956685031	63.14726812861	86.40641576767666
