Folder	Index	∆-ML_BH_R	HF_BH_R	CC_BH_R	DFT_BH_R
1	0	-0.0029088382073041	-1.1135716574790422	-1.060633055443759	-1.5338796208670828
1	1	-0.1928428268897732	-2.91265624051448	-3.0299924058199394	-3.704544485604856
1	2	-12.83411261437027	17.580172711139312	4.801872045150958	2.2779141924111173
1	3	0.2124090842189616	-1.920504833717132	-1.8242140457732603	-2.2636141282855533
1	4	0.0278945666746039	-2.638651238899911	-2.5457780763390474	-3.4483909267000854
1	5	-0.085624136484057	-1.863888018153375	-1.9068989027000496	-2.2853398022125475
1	6	-0.5274425863385659	-2.681851222878322	-3.19116042368114	-3.842079693218693
2	0	-10.406577742436184	30.11212531285128	19.72959156871366	17.515542232766165
2	1	0.6402276453586637	-3.4283648411219474	-2.8266598382906523	-3.5917305627954192
2	2	-10.071200597364964	30.378564033206203	20.273994847171707	17.968965648586163
2	3	0.0683573521259859	-2.2658395051257685	-2.150297477870481	-2.8183994239661843
2	4	-0.2229575426947576	-1.6061916849866975	-1.69521598337451	-2.678687267412897
2	5	0.6402704018796612	-1.8572879885614384	-1.2165247394004837	-1.60491411111434
3	0	-23.57519592214271	111.23943062813488	87.5637916046544	86.26700801498373
3	1	-36.4271559370643	148.67909234546823	112.29827646381456	110.83177848666674
3	2	-23.481632500426254	111.09789896657458	87.59808546904242	86.20244671931141
3	3	-25.752301726707856	109.41888326546176	83.59519058966544	82.42078197194496
3	4	-16.864432978991317	99.59988642852112	82.68324268700962	80.0433392412233
3	5	-9.316077376612611	67.40914152716869	58.06855459115468	54.98521309930948
3	6	-23.84515368596749	111.34776612414862	87.53581412081257	86.35570484850905
3	7	-9.246827510078674	67.84644537387067	58.61452601081692	55.36062379649957
3	8	-40.028676554657295	157.57282591608237	117.57357264330494	117.63538738578792
3	9	-12.329651793076664	83.17327528152964	70.80614585036528	67.32781265111407
3	10	-0.4528477264650519	35.710855227080174	35.35898740266566	30.039128339965828
3	11	-23.6473215903784	112.712286495429	89.1011465031479	94.04390219855122
3	12	-11.446002788088665	82.6124987640651	71.11279124987777	67.18171723745763
3	13	-18.723103368779448	102.0216660455335	83.38380976810004	83.4139780374826
3	14	-9.431929011895363	68.11605035577668	58.764216618816135	55.66093667282257
3	15	-25.31145115549748	106.79422307462664	81.54025685158558	81.14074751388398
3	16	-8.773130809990107	67.91423980769468	59.140233817714034	55.47434631874785
3	17	-0.9022575247395253	38.66758545962512	37.76938877161592	33.045612464338774
3	18	-11.75634527373245	81.88967791448522	70.08793256859644	66.0810965813871
3	19	-15.56094273133158	90.772706615302	75.08840047236299	71.91814244838315
3	20	-15.71527372276887	86.70865653519286	70.98782192668295	69.27054819243494
3	21	-23.08398802268812	111.0483318681072	87.89070984133286	86.64595856028609
3	22	-9.06068986412606	67.92340420934488	58.90778917004354	55.87338521407219
3	23	-12.544815066930823	83.06990940941614	70.19807142700301	66.05235347567941
3	24	-11.412009244403636	82.80495811719447	71.37550794091658	67.55653526948299
3	25	-9.009545088030336	68.01256917920546	58.98993901416543	56.250375582894776
3	26	-11.440147755623912	81.41817936525331	69.91300872381544	66.10205432734801
3	27	-23.569688462513117	110.42705738559016	87.06386127186124	85.84145600293414
3	28	-8.403297931573434	50.85228241700679	42.46519681936479	40.2637272044085
3	29	-0.7477521526993769	33.08344387082616	32.35522907669656	27.3418101714924
3	30	-22.998469846188527	109.78149516312988	86.87399165777606	85.90495649716468
3	31	-7.442283845327438	65.93214161612559	58.50393054660526	55.34115809077048
3	32	-22.58456046782157	109.2547634523362	86.61153324876796	85.41667883709306
3	33	-23.84607685292804	111.01972482170096	87.13367814655066	85.94344513924443
3	34	-36.89533688412848	143.89929188776296	106.87915636927936	106.91017789198668
3	35	-13.053497082620652	82.21773305346142	69.57900156651158	66.02468500784016
4	0	-14.183683042466328	116.0226348747674	101.8248527945252	102.85042405754211
4	1	7.990598410480743	75.02056914108107	82.94936777910334	80.95336847702856
4	2	0.7873543547702866	71.78057956771227	72.58685320222867	72.82743834759458
4	3	1.7856267697202384	75.72991089467541	77.58843725355109	78.55863468354801
5	0	-0.1603810218234684	64.62710914254421	64.3832355128543	61.52304281978286
5	1	0.2490413892546712	55.29747844010126	55.62411302770488	52.09140453234431
5	2	1.0060723770147888	43.65012812582427	44.62929624589742	41.47023659499246
5	3	-3.8368225441445247	54.09213362503215	50.34317615200416	47.88190935595776
5	4	-12.706117040971549	91.536001650471	78.8251149134885	81.27599508021376
5	5	-0.2142695529425964	61.47252561224741	61.51257778337458	58.56320167178637
5	6	11.16405663841897	39.83755946630845	50.96386258164421	47.48419876844855
5	7	3.705011241424927	48.14122687038616	51.86594041911303	47.16603906158707
5	8	3.805505856515765	50.655178598623024	54.48574167836341	50.67662984778872
5	9	2.217969081505544	54.887400291947415	57.06738637248054	53.861100304406136
5	10	-0.943712408960664	58.87046510342043	57.91411804995733	55.48316941905068
5	11	-3.9569030435884542	58.43635980354156	54.17010483398917	51.93943550740369
5	12	-1.3288352683364335	55.96067302665324	54.69709482690087	52.30690172460163
5	13	-0.9788523265976892	55.36878966115182	54.4873005952104	50.88608969640336
5	14	1.6099286169619518	29.514156175835524	31.30525476919138	30.15452969580656
5	15	10.41207635711362	39.29643083564588	49.76618320963462	46.296949841605965
5	16	-0.8098626599985437	61.20533280051313	60.32479845582566	56.85375941923121
5	17	-3.444619649035758	62.15485382755287	58.8096650406078	57.06425239614328
5	18	-5.771966426992776	40.75349459864083	35.01601877959911	34.54490304130013
5	19	2.055045918638825	52.755214844917646	54.65398708649445	51.111217120458605
5	20	-3.298760757069658	58.83159826253541	55.46602133385022	53.21960371866589
5	21	-4.12921022150249	54.950863888749154	50.58093633712269	48.40103788804845
5	22	-2.3575960918485634	70.8596494444646	68.45202922000317	65.95325617617345
