Folder	Index	∆-ML_BH	HF_BH	CC_BH	DFT_BH
1	0	15.183051828680618	77.66685584397055	92.85287359016364	98.32542809609733
1	1	14.16821315725656	78.73247927814373	92.9322053922806	98.2726117168204
1	2	-1.0004321756628087	102.95979498801172	101.97970673799864	105.2038580852386
1	3	16.33182125856615	79.31895716869622	95.62713675762645	101.68282532357262
1	4	13.195729609287357	76.89195656389347	90.0204116293753	94.97603300091578
1	5	15.190769577496212	81.21955813962268	96.42210132678156	102.04111330248998
1	6	11.940960349162651	82.90231201262213	94.81764843364364	99.75733241715352
2	0	-2.6921444210565824	127.38542290736224	124.65989895207169	125.76227684866171
2	1	8.698551134450781	95.74776371335612	104.4716560615634	106.47280716866952
2	2	-2.0923376844514223	130.4464253054175	128.3491033270111	129.5735633221484
2	3	8.926189025564781	97.38056537084049	106.38439167808974	108.61729560579988
2	4	8.249843062302489	99.49216665854328	107.7637863298587	110.40826505815494
2	5	8.838900750189623	99.14341666779364	108.0771009415912	110.6848782475572
3	0	-18.11920905278862	101.89118055507424	83.71075567786465	86.67092890280765
3	1	-32.511020229667565	139.1552012336615	106.67438480167766	109.59883899861596
3	2	-18.05237705882996	101.6268864984304	83.47858084274048	86.39755576985772
3	3	-19.062370685796395	101.50636792895966	82.42468848839053	85.88287337930524
3	4	-11.515710633680328	87.28315659430518	75.73886544210836	77.87038673520146
3	5	-12.075720415590697	78.08593235531589	65.98763997806236	68.9792106183886
3	6	-18.92978018950089	102.01495762972628	83.09353299546638	86.16444696829421
3	7	-10.263750464807345	77.89460068018525	67.59955307233031	70.21892539889086
3	8	-34.52484321678094	148.36863959138282	113.84289093362167	117.86484103469412
3	9	-12.69357744784702	94.33255778995226	81.58356291567907	84.16990511512267
3	10	1.8638768636631085	38.28701603916125	40.184519931237446	40.25135503150523
3	11	-23.302957863468464	132.4117905079038	109.1504613077268	119.33111301501047
3	12	-12.221455782036172	93.96865448189784	81.67895202242653	83.95405739720445
3	13	-17.34066854231969	124.18678152767824	106.7981088362285	112.84800219803584
3	14	-10.50283919648291	78.05335652799113	67.53224291742663	70.2255992233404
3	15	-21.77695716051653	101.78351151905372	80.01205713037052	83.52343890539487
3	16	-9.907501716080104	77.97975074735587	68.08053195758839	70.41691014365642
3	17	0.3279046518125597	42.87780705434852	43.201201585528906	43.90124518418452
3	18	-11.893194485639697	92.99422998890805	81.01581508814706	83.40347610361641
3	19	-11.930000018779085	76.22529361800116	64.2035934079322	65.7569248979562
3	20	-13.400354528549542	90.41338550802902	76.99056497227866	79.6211956301704
3	21	-18.004024515531228	101.86343137407675	83.81552595872199	86.76643100799993
3	22	-9.12430543997766	75.06761337711941	65.97343215759611	68.60094728789409
3	23	-11.866385785983312	93.36682495017884	81.41717160391272	83.66663787007565
3	24	-12.114725272871963	93.8421769757988	81.67424759885762	83.9642779880669
3	25	-8.888762045889052	74.76418266704422	65.82629439121229	68.65313410456292
3	26	-12.104357573375182	93.11976430416688	81.00267498730682	83.5256296909356
3	27	-18.95966437359812	101.61529147793772	82.64749367983313	85.79060210625175
3	28	-7.646925764755906	51.2227004293527	43.58062026713742	45.7015865863068
3	29	-0.7766556029505409	41.81813102628803	41.06554547304404	41.45405476144515
3	30	-17.58041813675527	107.42103678532294	89.89064563901047	93.41757737891749
3	31	-6.508603172090716	72.0631194083835	65.63001845913823	68.1280650846602
3	32	-16.67420637746409	99.9439896478434	83.1670972664433	85.7214240184112
3	33	-18.678816294532226	102.00118566025048	83.31024780313601	86.40641576767666
3	34	-31.05783934328747	134.95879773021443	103.78838926763274	107.4794731059228
3	35	-12.092448190403957	92.92869091109606	80.9046131222567	83.51893972381367
4	0	-25.03875417820973	105.17837809686898	80.0765377128555	81.1818005280511
4	1	-0.1725909896754274	69.19953676310251	68.94566623322316	67.73310105034034
4	2	-11.095786417713043	67.27005201490829	56.08306414124672	56.962413155677496
4	3	-16.034622954504357	91.5364582563343	75.50848474501981	77.9445298348146
5	0	-9.900969665552791	81.24898846022552	71.2105256501527	71.68804078816902
5	1	-10.448744341756536	73.62964865149115	63.29245724892826	63.78204938027193
5	2	-4.188095110524728	63.16459378277068	58.94287632938358	59.08809542888776
5	3	-7.874604296966027	73.99721633663285	66.14444717977312	66.6544620442146
5	4	-10.605978825786906	116.5933575583622	106.05349543615011	110.58333188050892
5	5	-9.16854862833543	79.64966661733342	70.52538631114294	71.50797436269931
5	6	-6.526593401556283	85.87571988810669	79.27408757555531	81.29797673010034
5	7	-5.684092243268651	62.31295705187949	56.67698147811461	56.680740404786775
5	8	-10.988398160933684	89.04633074387675	77.97278866163106	79.46018903856748
5	9	-9.40115140339367	76.22177913686028	66.80122391789337	67.96196434021113
5	10	-8.59781053846973	84.48076835321262	75.80791669499013	76.3727011968731
5	11	-8.638749250526416	76.61756644526031	67.85421689716168	68.41170262420201
5	12	-9.003254291047142	83.64157528392388	74.51998387870844	74.52857406396652
5	13	-8.954082440564662	74.72851667911164	65.65184560100897	66.07135796334478
5	14	-10.54335174287644	62.92289940812043	52.363103443960426	53.28187045475352
5	15	-6.421307397877399	85.57836341916118	79.10591826838208	80.97329540076316
5	16	-9.157071998864469	76.46277707228728	67.11098253888485	67.65357092452177
5	17	-10.042747799674544	79.24836083551054	69.13628763266024	69.4656295699242
5	18	-9.05124315090211	81.84653097056434	72.7448849377397	73.36465123743983
5	19	-11.56418956136622	80.17131109361071	68.45547221240122	68.27717455796665
5	20	-7.862565154491449	76.92594371832092	69.07715026070946	69.41191381553654
5	21	-7.709756025035176	74.89082390547264	67.08729899456375	67.96967129301629
5	22	-11.149941229259184	83.60725374647882	72.31212639444857	72.54894800088368
5	23	-8.005742952765331	117.45635178254452	109.3841766109399	114.01388981324271
5	24	-10.122505305638242	79.05837822306785	68.8732342524745	69.14557886926923
5	25	-7.324241417392386	70.30416540353326	63.03261163990828	64.09255286835833
5	26	-7.08462384381005	74.60990293996292	67.47103698280989	68.51277624286013
5	27	-9.284669330160796	74.13329409531434	64.88457717275014	64.30189741245704
5	28	-5.561626153566976	84.43349581435905	78.97318895236822	80.63975407354883
5	29	-11.159904558423932	80.61125080115744	69.41786813989165	69.92648090160219
5	30	-9.633456008568828	75.26262095966376	65.6232362484443	66.19018847495317
