Folder	Index	∆-ML_BH_R	R2S_BH_R	DFT_BH_R
1	0	2.249041604850291	-3.7646273544814894	-1.5338796208670828
1	1	3.125945603054113	-6.61306821287144	-3.704544485604856
1	2	9.92283249532425	-7.718181132222526	2.2779141924111173
1	3	2.6027648920171917	-4.641202142636757	-2.2636141282855533
1	4	3.448107083335884	-7.100388845574344	-3.4483909267000854
1	5	2.02307332600887	-4.169899611064466	-2.2853398022125475
1	6	3.134226931804406	-6.799856890720548	-3.842079693218693
2	0	11.014475698918382	6.429028394311899	17.515542232766165
2	1	4.441748507889983	-8.038792212755652	-3.5917305627954192
2	2	10.81789948462822	7.180283333611442	17.968965648586163
2	3	2.5555381876179126	-5.318945851002354	-2.8183994239661843
2	4	2.704323940334149	-5.404999905440491	-2.678687267412897
2	5	4.807517664744481	-8.040092847455526	-3.024741438886849
2	6	2.621379675211301	-4.182931325689424	-1.60491411111434
2	7	4.089495658421512	-6.792934008524753	-2.811780945659848
3	0	11.01746087301111	75.40294192396686	86.26700801498373
3	1	15.992422373201345	94.97962588912924	110.83177848666674
3	2	11.184847086507276	75.13466294383397	86.20244671931141
3	3	11.559914807980796	70.68710779066896	82.42078197194496
3	4	9.466480812474645	70.42740977140784	80.0433392412233
3	5	9.15469532910437	45.761579517653445	54.98521309930948
3	6	11.254319719797834	75.15852866924251	86.35570484850905
3	7	9.368216157461944	45.87405675128685	55.36062379649957
3	8	16.514847820290854	100.99696417839732	117.63538738578792
3	9	9.50487963319273	57.66143746254966	67.32781265111407
3	10	7.692427976819658	22.21917484392179	30.039128339965828
3	11	16.603312328836353	77.80887639665161	94.04390219855122
3	12	9.444773551934254	57.48681802168721	67.18171723745763
3	13	15.216611821153528	68.18388399312971	83.4139780374826
3	14	9.230634392849431	46.27884472897858	55.66093667282257
3	15	13.12437741143944	67.94799174091895	81.14074751388398
3	16	9.420545501419769	46.01751399802743	55.47434631874785
3	17	8.148255574720359	24.807527953817043	33.045612464338774
3	18	9.507596421929932	56.335066738160094	66.0810965813871
3	19	7.7184061372805886	63.57936482409423	71.91814244838315
3	20	10.627434618631526	58.55910605596728	69.27054819243494
3	21	11.320088992265852	75.32148851911188	86.64595856028609
3	22	9.449163728871156	46.23270448023686	55.87338521407219
3	23	9.538229632352753	46.61299486388452	56.250375582894776
3	24	9.519953670330487	56.4296371829696	66.10205432734801
3	25	11.946653942605138	73.97804581042146	85.84145600293414
3	26	7.448931656158749	32.79981555562699	40.2637272044085
3	27	7.748304689480832	19.67136510231649	27.3418101714924
3	28	11.882976329959057	74.01508161579841	85.90495649716468
3	29	10.175760946410094	45.04729350708658	55.34115809077048
3	30	11.641332859288164	73.8617727526871	85.41667883709306
3	31	11.32373548738245	75.0190309790778	85.94344513924443
3	32	16.011473745066276	90.95520596572896	106.91017789198668
3	33	9.792942075239068	56.01652652648045	66.02468500784016
4	0	12.403200821265855	90.1809154934017	102.85042405754211
4	1	11.745114220765387	68.79752301165718	80.95336847702856
4	2	12.023507372000644	60.33734358544461	72.82743834759458
4	3	9.544934287850069	68.93846892635338	78.55863468354801
5	0	3.852048563667936	57.52258778363466	61.52304281978286
5	1	4.624426902798668	47.439850351715	52.09140453234431
5	2	4.346735405612876	37.38504889397882	41.47023659499246
5	3	6.104918646560876	41.87454259986407	47.88190935595776
5	4	11.76470386319265	69.38460970993037	81.27599508021376
5	5	3.587637831594442	54.94307391671464	58.56320167178637
5	6	4.355472528752472	43.151198636041954	47.48419876844855
5	7	4.044320476470276	43.23856946788146	47.16603906158707
5	8	5.269218788685869	45.54958066393738	50.67662984778872
5	9	4.01208982749867	49.82319897887646	53.861100304406136
5	10	4.415035069246592	51.09687554676202	55.48316941905068
5	11	5.539316633055051	46.45857907750178	51.93943550740369
5	12	4.987970141813712	47.26152041199384	52.30690172460163
5	13	4.806128247276241	46.0845843195566	50.88608969640336
5	14	2.567304319947596	27.5816412254062	30.15452969580656
5	15	4.71063229734375	41.58763041248312	46.296949841605965
5	16	3.9532861860142887	52.82861768962175	56.85375941923121
5	17	5.314682832929279	51.69854595820652	57.06425239614328
5	18	5.353937309845449	28.95494779956061	34.54490304130013
5	19	4.961173885210016	46.15101354813669	51.111217120458605
5	20	5.7693380104558685	47.54222921721521	53.21960371866589
5	21	5.547090863266355	42.88777858755202	48.40103788804845
