Folder	Index	∆-ML_BH_R	PM6_BH_R	CC_BH_R	DFT_BH_R
1	0	0.1118557854497339	-1.3200704865200237	-3.0299924058199394	-3.704544485604856
1	1	-0.6408122230495792	-1.3880217344600112	-1.8242140457732603	-2.2636141282855533
1	2	0.6282395351736341	-1.962459529099988	-2.5457780763390474	-3.4483909267000854
1	3	0.9201485580124428	-1.7805482316300072	-3.19116042368114	-3.842079693218693
2	0	31.147259784294874	-11.810540773130016	19.72959156871366	17.515542232766165
2	1	31.539947978773853	-10.714892047139998	20.273994847171707	17.968965648586163
2	2	0.3403988656646106	-0.9320939049200092	-1.69521598337451	-2.678687267412897
2	3	0.5316254281788133	-1.5482258067600014	-1.2165247394004837	-1.60491411111434
3	0	29.01941272194381	54.32395332224	87.5637916046544	86.26700801498373
3	1	30.05305281767505	53.44997980359001	84.83879805004108	83.77333142998395
3	2	29.42049215376028	54.33334372072	87.59808546904242	86.20244671931141
3	3	30.747311364742927	52.69273825465	83.59519058966544	82.42078197194496
3	4	29.63586296395806	46.41140339438001	82.68324268700962	80.0433392412233
3	5	29.15172978703049	53.96231690062	87.53581412081257	86.35570484850905
3	6	35.80470721385791	33.96383523792	70.80614585036528	67.32781265111407
3	7	28.32614283170551	6.736522434919998	35.35898740266566	30.039128339965828
3	8	41.17549536004663	31.151164141530003	71.11279124987777	67.18171723745763
3	9	39.44106333696982	44.58932478794	83.38380976810004	83.4139780374826
3	10	30.791164499009028	28.33870059324	58.764216618816135	55.66093667282257
3	11	29.4067495741765	48.87280163761	81.54025685158558	81.14074751388398
3	12	29.340457072190475	7.910997929289998	37.76938877161592	33.045612464338774
3	13	23.03810198888823	52.86053166914	75.08840047236299	71.91814244838315
3	14	34.71575344377197	38.1171771228	70.98782192668295	69.27054819243494
3	15	28.765161133778747	54.29500497447	87.89070984133286	86.64595856028609
3	16	30.43197909859009	30.63683458274	58.90778917004354	55.87338521407219
3	17	39.43350961690885	32.91806954472	70.19807142700301	66.05235347567941
3	18	42.66631870885613	31.56583832706	71.37550794091658	67.55653526948299
3	19	29.23313718324061	53.908416659050005	88.68378802886582	87.72653929423541
3	20	31.944225022481987	29.05824218286	58.98993901416543	56.250375582894776
3	21	43.64444771586568	31.246324945380024	69.91300872381544	66.10205432734801
3	22	31.302404690621188	52.76659078690001	87.06386127186124	85.84145600293414
3	23	11.899977928726004	31.35372416886	42.46519681936479	40.2637272044085
3	24	28.53072638035519	53.35290955722	86.87399165777606	85.90495649716468
3	25	26.33347020787187	29.94707383938	58.50393054660526	55.34115809077048
3	26	32.12855466280598	54.03914890115	86.61153324876796	85.41667883709306
3	27	29.88437728863209	54.33724331891	87.13367814655066	85.94344513924443
4	0	-0.8026170787634328	104.06264793914	101.8248527945252	102.85042405754211
4	1	2.884253199736122	69.90960954717	72.58685320222867	72.82743834759458
5	0	25.015080772078363	39.88958485673	64.3832355128543	61.52304281978286
5	1	23.11422185433912	34.337181984560004	55.62411302770488	52.09140453234431
5	2	25.538800639973488	20.20311717103	44.62929624589742	41.47023659499246
5	3	28.163384109386243	23.87825209088	50.34317615200416	47.88190935595776
5	4	26.18006616341881	52.61862974641	78.8251149134885	81.27599508021376
5	5	22.7388170377817	38.775150721600006	61.51257778337458	58.56320167178637
5	6	25.737062646308917	25.035351197099985	50.96386258164421	47.48419876844855
5	7	26.95184699419769	25.74116002077	51.86594041911303	47.16603906158707
5	8	24.255953803658485	29.763522911919992	54.48574167836341	50.67662984778872
5	9	28.304066844575573	28.43440102215	57.06738637248054	53.861100304406136
5	10	21.38777693119482	37.41719809465	57.91411804995733	55.48316941905068
5	11	26.17737853876315	28.23356595014001	54.17010483398917	51.93943550740369
5	12	19.55842719678185	36.070067948070005	54.69709482690087	52.30690172460163
5	13	22.558022628451	33.07379057805999	54.4873005952104	50.88608969640336
5	14	7.7723124466429	23.88822131795	31.30525476919138	30.15452969580656
5	15	24.674184045259608	23.01332766939	49.76618320963462	46.296949841605965
5	16	24.49830968628521	37.01366232382001	60.32479845582566	56.85375941923121
5	17	26.338698333798675	32.59795427355	58.8096650406078	57.06425239614328
5	18	13.190227144339588	22.22860675201	35.01601877959911	34.54490304130013
5	19	22.27269787050318	32.42606063104001	54.65398708649445	51.111217120458605
5	20	28.89657104629441	28.16476836717	55.46602133385022	53.21960371866589
5	21	28.785438127000816	25.322975966260003	50.58093633712269	48.40103788804845
5	22	28.79887535236776	53.44463198088	80.0898369338829	82.89026038630982
5	23	27.386414794105804	27.243323985870003	53.29681622405769	49.491179671138525
5	24	22.446240661403863	32.853268415719995	55.093002052017255	51.77621737550362
5	25	21.702912408130945	31.83841355288001	52.91400759015232	49.15891130565433
5	26	23.92770563930389	36.26529922138001	60.564592612267006	56.9471330033266
5	27	25.36775898872293	40.23292245420001	63.29938013109495	60.24259326557512
5	28	25.571822621743195	33.18323299728	56.238658339658286	53.03201482762233
5	29	28.40463613468455	29.97290435347	58.1064482620568	57.631587433599634
5	30	22.785114948521368	32.14166669397001	55.03591940621845	51.47979026081157
5	31	25.056436527811456	35.13606229454	58.89448994901613	55.22056803252781
5	32	17.770565551851178	36.36143088911999	56.14095853065373	53.085098713316256
5	33	24.7041153832688	50.94588430401	77.5609624972858	81.49530654528644
5	34	21.02754541425384	36.70408588395	57.38326305022929	55.03717622524709
5	35	30.753345132427057	53.48651288137	82.71151765651302	86.7334954305843
5	36	23.6033984971582	32.198839277249995	54.50082120089792	50.80999795075331
5	37	22.93537052950705	37.07833200569001	60.68922985851532	59.61446508357767
5	38	24.49573283817153	36.008838952480005	59.89156024577096	56.44307938159909
5	39	24.06534267924144	32.130156998779995	56.01577243502834	52.3928520049667
5	40	28.441977797978325	34.66000691148	62.16410816673306	59.10741585091455
5	41	20.579868804314174	35.84756485441999	57.00867101497715	55.42189891386079
5	42	23.906313510524345	30.59940443595	54.12773504242068	50.9085048912093
5	43	8.464918336860137	24.40411901794	31.5832908161683	30.31421489783679
5	44	23.68108329700772	36.42789240292001	60.9597296033171	59.1311362926208
5	45	25.79097893627477	26.720487261069987	51.89182166720275	47.08353177362005
5	46	19.416141154855723	33.29675488971	52.70286660193233	48.61466714736889
5	47	22.656890181126077	32.36436119309	53.70345829811413	49.987812295235926
5	48	22.76686657880782	25.36891558515001	47.66875053898548	43.563615159509936
5	49	24.942256316076964	31.50458857666	56.36389286318445	51.8178146269056
5	50	24.46690952291829	29.23547442372	52.67756187639316	49.04197640001075
5	51	26.08870135428151	38.3119494842	65.08501329121646	63.54086926372838
5	52	20.9194479782891	32.99358015567999	53.112887097813655	49.28635045120609
5	53	29.64092923438875	54.720681515390005	83.55034175133915	87.74702429168974
5	54	21.802910049067577	32.91705025293999	55.89222135714954	52.17479505282245
5	55	23.461072822014103	33.23222357323999	55.897963521274505	52.67752959110658
5	56	22.69468587389565	47.37950920074	72.73045112044201	72.60388828901341
5	57	18.11736511808704	39.65437290109	62.10452341334894	59.57004517794121
5	58	22.590159130340908	37.05369143404	60.73347680730512	59.42829674395034
5	59	25.249867988517508	33.31190590101001	57.72623167329584	53.78500164052821
5	60	24.7879529647762	36.04613534605	59.89206527947681	56.46217841896578
5	61	22.13712208409561	33.49644614108	54.63326225569472	52.15961867457372
5	62	31.87798692210345	53.7273540027	85.12288527720375	88.57575463067042
5	63	22.742371102940524	41.11371277488999	63.27587876789039	60.01888639293611
5	64	23.103876346169272	31.3809268065	54.199244587216526	50.52721135842148
5	65	18.88181437354069	32.61696337341999	52.776975110173225	49.54716231193743
5	66	25.350098267226716	35.09565267946999	61.07121983048273	57.82793485443108
5	67	19.69071988287033	26.409670144779994	45.79961616607034	44.21629628172377
5	68	24.438711044145748	39.9166652716	64.35770940262591	61.47129416023381
5	69	27.024633108929265	19.02229762307	44.81022284296341	41.71569220238598
5	70	21.647286288818577	33.67745114518	56.66333173139719	53.156686665228335
5	71	28.176944269274827	33.66384982636	59.99227642043843	56.54617544109351
5	72	21.92732162331231	27.43201749403	48.30444961445755	46.30911677243421
5	73	21.16004207840888	25.74502272152	45.05310716002714	42.36984691614634
5	74	23.336631078185743	41.73356209381	65.13197450796724	62.39665658847662
5	75	25.96264174408861	33.69954118129	60.325783156295074	56.19829715244123
5	76	27.681559535325505	34.53560719252	60.69881858071312	57.25268301006872
5	77	27.684267720935168	25.57076764285	50.45483933595824	48.20111372155952
5	78	25.952760213869624	34.70376496923002	59.49925513326889	55.38244171394035
5	79	17.318729639839148	32.914619634080005	51.680413172522094	48.3132565721462
5	80	23.75195884311688	35.45092659878	59.36259623983642	56.01359779216
5	81	19.84625485961442	32.3238408857	51.77441862528213	48.2150309747376
5	82	22.84311968061957	32.28294929782	53.51018028304679	50.02105688871234
5	83	26.944840150041276	30.735496031210005	58.22583223530091	54.827402748400345
5	84	23.36059278578614	35.857923810699994	57.81296833034139	54.21505975243053
5	85	32.68127866802388	52.26528371834	83.42018372565508	86.82737635451485
5	86	25.50804005167447	30.10032735642	55.53409249847755	51.120536030153744
5	87	26.343276954838075	38.25914924756	63.397550382389454	60.10998847841984
5	88	27.431815819931217	29.19072244118	54.76332803777768	52.48908514063805
5	89	25.96310212626122	38.34923204123	64.96684232132975	63.31310136656976
5	90	21.927426058246056	32.98630905391	54.49853355961386	51.4891091704776
5	91	28.58267613215139	42.40978378278	69.8836521981575	67.53486494178651
5	92	26.8236480873602	31.72934241415	58.041291995177744	54.75434120502905
5	93	23.816713602718664	38.14887894203	60.62950212752912	57.71591653273208
5	94	24.67426556625287	25.49980694745999	48.935672569292365	46.423872423009016
5	95	6.556743273657048	22.47309841381	28.74060134627507	28.493725187407108
5	96	22.977481159352465	34.39329146035	56.72822049178649	53.21757205339964
5	97	21.827138134569395	35.53416030515	56.76928503639647	53.20096589930472
5	98	26.14452303966391	32.15692839758999	57.61179426315357	54.067184037267
5	99	25.10357636844856	36.60231582616	60.981676661846	57.59259145168471
5	100	23.253985228773672	34.00880629901	57.28507435019128	53.85249167043367
5	101	31.914013411849737	51.60993214387	83.23484788456699	86.30294150937698
5	102	27.44438070358592	22.6060929302	48.762685840105405	45.97668928676285
5	103	26.936809743230697	30.483613350959995	57.82132098838338	55.82473363331519
5	104	25.231029754999327	31.11583253664	57.730440287530655	54.29341607843526
5	105	26.72293696147972	31.546958368229987	59.08570631965995	55.18928130948916
5	106	23.23973900070996	40.840660188440005	66.16991794385831	63.37925847651786
