Folder	Index	∆-ML_BH_R	HF_BH_R	DFT_BH_R
1	0	-0.5103629249988444	-1.1135716574790422	-1.5338796208670828
1	1	-1.0466788829580764	-2.91265624051448	-3.704544485604856
1	2	-15.526667769938284	17.580172711139312	2.2779141924111173
1	3	-0.5491978216150528	-1.920504833717132	-2.2636141282855533
1	4	-1.0008769557530286	-2.638651238899911	-3.4483909267000854
1	5	-0.6418262109068564	-1.863888018153375	-2.2853398022125475
1	6	-1.2379135224596212	-2.681851222878322	-3.842079693218693
2	0	-12.594553888340895	30.11212531285128	17.515542232766165
2	1	-0.0644490163358568	-3.4283648411219474	-3.5917305627954192
2	2	-12.463959024546966	30.378564033206203	17.968965648586163
2	3	-0.821186517298429	-2.2658395051257685	-2.8183994239661843
2	4	-1.4077713498149933	-1.6061916849866975	-2.678687267412897
2	5	0.0433077620591575	-1.8572879885614384	-1.60491411111434
3	0	-25.160073661221304	111.23943062813488	86.26700801498373
3	1	-37.961374142143086	148.67909234546823	110.83177848666674
3	2	-25.071250035378853	111.09789896657458	86.20244671931141
3	3	-27.33409661544852	109.41888326546176	82.42078197194496
3	4	-19.61999124051681	99.59988642852112	80.0433392412233
3	5	-12.38687159108349	67.40914152716869	54.98521309930948
3	6	-25.201706417460173	111.34776612414862	86.35570484850905
3	7	-12.422081386946957	67.84644537387067	55.36062379649957
3	8	-39.73995418732238	157.57282591608237	117.63538738578792
3	9	-15.9562663980264	83.17327528152964	67.32781265111407
3	10	-5.399082407441256	35.710855227080174	30.039128339965828
3	11	-18.77447328260314	112.712286495429	94.04390219855122
3	12	-15.650828457046371	82.6124987640651	67.18171723745763
3	13	-18.6778477687933	102.0216660455335	83.4139780374826
3	14	-12.48425337338722	68.11605035577668	55.66093667282257
3	15	-25.63034022762849	106.79422307462664	81.14074751388398
3	16	-12.45583186316253	67.91423980769468	55.47434631874785
3	17	-5.5986845311615525	38.66758545962512	33.045612464338774
3	18	-15.90416042121774	81.88967791448522	66.0810965813871
3	19	-18.882639009322705	90.772706615302	71.91814244838315
3	20	-17.46572079269481	86.70865653519286	69.27054819243494
3	21	-24.574587552759795	111.0483318681072	86.64595856028609
3	22	-12.033724745534528	67.92340420934488	55.87338521407219
3	23	-16.59976433468455	83.06990940941614	66.05235347567941
3	24	-15.204550068069691	82.80495811719447	67.55653526948299
3	25	-11.921391519970712	68.01256917920546	56.250375582894776
3	26	-15.469209690267236	81.41817936525331	66.10205432734801
3	27	-24.346736457228417	110.42705738559016	85.84145600293414
3	28	-10.333951243480897	50.85228241700679	40.2637272044085
3	29	-5.587046515156999	33.08344387082616	27.3418101714924
3	30	-23.819422218080035	109.78149516312988	85.90495649716468
3	31	-10.419727292874995	65.93214161612559	55.34115809077048
3	32	-23.95874793411167	109.2547634523362	85.41667883709306
